"vulnerability_rank","IGZ","CPP","Indicator","BaseYear","Change","ChangeAv","InterZone_Name","group","label","CommunityValue_BaseYear","CommunityValue_RecentYear","CPPAverage_BaseYear","CPPAverage_RecentYear"
3,"S02002235","Perth and Kinross","Child Poverty","2014/15",-1.42,-3.36,"Hillyland, Tulloch and Inveralmond","Child Poverty Hillyland, Tulloch and Inveralmond","Child Poverty","23.2","23.53",13.52,13.98
3,"S02002235","Perth and Kinross","Crime Rate","2012/13",-31,-39,"Hillyland, Tulloch and Inveralmond","Crime Rate Hillyland, Tulloch and Inveralmond","Crime Rate","1269.76","1665.5",745,1039
3,"S02002235","Perth and Kinross","Depopulation","2012/13",-2.72,3.22,"Hillyland, Tulloch and Inveralmond","Depopulation Hillyland, Tulloch and Inveralmond","Depopulation","100","102.72",100,96.78
3,"S02002235","Perth and Kinross","Early Mortality","2012/13",1,3,"Hillyland, Tulloch and Inveralmond","Early Mortality Hillyland, Tulloch and Inveralmond","Early Mortality","566","560.05",369,356
3,"S02002235","Perth and Kinross","Emergency Admissions","2012/13",-9,-14,"Hillyland, Tulloch and Inveralmond","Emergency Admissions Hillyland, Tulloch and Inveralmond","Emergency Admissions","25869.26","28322.4",22242,25364
3,"S02002235","Perth and Kinross","Out of Work Benefits","2013/14",-39.81,-42.49,"Hillyland, Tulloch and Inveralmond","Out of Work Benefits Hillyland, Tulloch and Inveralmond","Out of Work Benefits","15.85","22.16",8.24,11.74
3,"S02002235","Perth and Kinross","Participation Rate","2016/17",-1.33,0.07,"Hillyland, Tulloch and Inveralmond","Participation Rate Hillyland, Tulloch and Inveralmond","Participation Rate","86.26","85.11",92.3,92.37
3,"S02002259","Renfrewshire","Attainment","2013/14",10.64,1.08,"Johnstone North West","Attainment Johnstone North West","Attainment","4.7","5.2",5.52,5.58
3,"S02002259","Renfrewshire","Child Poverty","2014/15",-43.99,-16.57,"Johnstone North West","Child Poverty Johnstone North West","Child Poverty","16.98","24.45",12.87,15.01
3,"S02002259","Renfrewshire","Crime Rate","2012/13",47,51,"Johnstone North West","Crime Rate Johnstone North West","Crime Rate","2273.92","1194.99",1976,965
3,"S02002259","Renfrewshire","Depopulation","2012/13",0.24,3.07,"Johnstone North West","Depopulation Johnstone North West","Depopulation","100","99.76",100,96.93
3,"S02002259","Renfrewshire","Early Mortality","2012/13",18,13,"Johnstone North West","Early Mortality Johnstone North West","Early Mortality","814","666.21",532,465
3,"S02002259","Renfrewshire","Emergency Admissions","2012/13",2,14,"Johnstone North West","Emergency Admissions Johnstone North West","Emergency Admissions","29566.56","29104.45",28094,24249
3,"S02002259","Renfrewshire","Out of Work Benefits","2013/14",-14.64,-11.04,"Johnstone North West","Out of Work Benefits Johnstone North West","Out of Work Benefits","24.18","27.72",13.74,15.26
3,"S02002259","Renfrewshire","Participation Rate","2016/17",4.4,1.93,"Johnstone North West","Participation Rate Johnstone North West","Participation Rate","81.82","85.42",91.1,92.86
3,"S02002298","Scottish Borders","Attainment","2013/14",-0.59,-1.26,"Galashiels West","Attainment Galashiels West","Attainment","5.07","5.04",5.54,5.47
3,"S02002298","Scottish Borders","Child Poverty","2014/15",-6.87,-9.92,"Galashiels West","Child Poverty Galashiels West","Child Poverty","23.57","25.19",15.03,16.52
3,"S02002298","Scottish Borders","Crime Rate","2012/13",-38,-37,"Galashiels West","Crime Rate Galashiels West","Crime Rate","1132.7","1565.12",764,1047
3,"S02002298","Scottish Borders","Depopulation","2012/13",-2.01,1.33,"Galashiels West","Depopulation Galashiels West","Depopulation","100","102.01",100,98.67
3,"S02002298","Scottish Borders","Early Mortality","2012/13",5,5,"Galashiels West","Early Mortality Galashiels West","Early Mortality","510","483.75",380,360
3,"S02002298","Scottish Borders","Emergency Admissions","2012/13",28,13,"Galashiels West","Emergency Admissions Galashiels West","Emergency Admissions","42335.77","30340.5",25376,21982
3,"S02002298","Scottish Borders","Out of Work Benefits","2013/14",-38.4,-43.38,"Galashiels West","Out of Work Benefits Galashiels West","Out of Work Benefits","12.63","17.48",9.82,14.08
3,"S02002298","Scottish Borders","Participation Rate","2016/17",7.1,3,"Galashiels West","Participation Rate Galashiels West","Participation Rate","87.14","93.33",91.34,94.08
3,"S02002323","Shetland Islands","Attainment","2013/14",2.16,0.98,"Lerwick South","Attainment Lerwick South","Attainment","5.55","5.67",5.56,5.61
3,"S02002323","Shetland Islands","Child Poverty","2014/15",-1.38,-24.4,"Lerwick South","Child Poverty Lerwick South","Child Poverty","7.99","8.1",7.15,8.89
3,"S02002323","Shetland Islands","Crime Rate","2012/13",-49,-245,"Lerwick South","Crime Rate Lerwick South","Crime Rate","442.84","661.63",162,559
3,"S02002323","Shetland Islands","Depopulation","2012/13",-1.62,-0.19,"Lerwick South","Depopulation Lerwick South","Depopulation","100","101.62",100,100.19
3,"S02002323","Shetland Islands","Early Mortality","2012/13",36,22,"Lerwick South","Early Mortality Lerwick South","Early Mortality","464","294.99",413,322
3,"S02002323","Shetland Islands","Emergency Admissions","2012/13",28,25,"Lerwick South","Emergency Admissions Lerwick South","Emergency Admissions","25256.67","18118.2",23493,17578
3,"S02002323","Shetland Islands","Out of Work Benefits","2013/14",-50,-55.08,"Lerwick South","Out of Work Benefits Lerwick South","Out of Work Benefits","6.84","10.26",5.8,9
3,"S02002323","Shetland Islands","Participation Rate","2016/17",-4.46,0.1,"Lerwick South","Participation Rate Lerwick South","Participation Rate","99.46","95.02",97.32,97.42
3,"S02002341","South Ayrshire","Attainment","2013/14",-1.07,0.33,"Craigie","Attainment Craigie","Attainment","5.59","5.53",5.56,5.58
3,"S02002341","South Ayrshire","Child Poverty","2014/15",-16.88,-5.28,"Craigie","Child Poverty Craigie","Child Poverty","17.59","20.56",16.55,17.42
3,"S02002341","South Ayrshire","Crime Rate","2012/13",29,35,"Craigie","Crime Rate Craigie","Crime Rate","1294.78","921.93",1948,1258
3,"S02002341","South Ayrshire","Depopulation","2012/13",-17.02,-1.76,"Craigie","Depopulation Craigie","Depopulation","100","117.02",100,101.76
3,"S02002341","South Ayrshire","Early Mortality","2012/13",27,0,"Craigie","Early Mortality Craigie","Early Mortality","732","533.37",451,452
3,"S02002341","South Ayrshire","Emergency Admissions","2012/13",31,11,"Craigie","Emergency Admissions Craigie","Emergency Admissions","35804.42","24742.24",29687,26368
3,"S02002341","South Ayrshire","Out of Work Benefits","2013/14",-10.84,-28.95,"Craigie","Out of Work Benefits Craigie","Out of Work Benefits","16.7","18.51",13.53,17.45
3,"S02002341","South Ayrshire","Participation Rate","2016/17",4.23,4.92,"Craigie","Participation Rate Craigie","Participation Rate","88.66","92.41",90.79,95.26
3,"S02002410","South Lanarkshire","Attainment","2013/14",2.03,2.32,"Burnhill and Bankhead North","Attainment Burnhill and Bankhead North","Attainment","4.93","5.03",5.45,5.57
3,"S02002410","South Lanarkshire","Child Poverty","2014/15",26.03,2.49,"Burnhill and Bankhead North","Child Poverty Burnhill and Bankhead North","Child Poverty","29.04","21.48",15.61,15.22
3,"S02002410","South Lanarkshire","Crime Rate","2012/13",42,45,"Burnhill and Bankhead North","Crime Rate Burnhill and Bankhead North","Crime Rate","1961.33","1136.85",2123,1163
3,"S02002410","South Lanarkshire","Depopulation","2012/13",-0.66,2.39,"Burnhill and Bankhead North","Depopulation Burnhill and Bankhead North","Depopulation","100","100.66",100,97.61
3,"S02002410","South Lanarkshire","Early Mortality","2012/13",0,6,"Burnhill and Bankhead North","Early Mortality Burnhill and Bankhead North","Early Mortality","620","622.63",489,462
3,"S02002410","South Lanarkshire","Emergency Admissions","2012/13",25,4,"Burnhill and Bankhead North","Emergency Admissions Burnhill and Bankhead North","Emergency Admissions","30835.73","23084.71",26799,25600
3,"S02002410","South Lanarkshire","Out of Work Benefits","2013/14",-22,-19.31,"Burnhill and Bankhead North","Out of Work Benefits Burnhill and Bankhead North","Out of Work Benefits","21.55","26.29",13.46,16.05
3,"S02002410","South Lanarkshire","Participation Rate","2016/17",6.49,2.98,"Burnhill and Bankhead North","Participation Rate Burnhill and Bankhead North","Participation Rate","80","85.19",90.3,92.99
3,"S02002441","Stirling","Attainment","2013/14",0.99,0.99,"Cowie","Attainment Cowie","Attainment","5.06","5.11",5.59,5.65
3,"S02002441","Stirling","Child Poverty","2014/15",-4.63,0.01,"Cowie","Child Poverty Cowie","Child Poverty","25.91","27.11",13.86,13.86
3,"S02002441","Stirling","Crime Rate","2012/13",5,26,"Cowie","Crime Rate Cowie","Crime Rate","876.57","832.89",1450,1072
3,"S02002441","Stirling","Depopulation","2012/13",2.07,3.24,"Cowie","Depopulation Cowie","Depopulation","100","97.93",100,96.76
3,"S02002441","Stirling","Early Mortality","2012/13",2,3,"Cowie","Early Mortality Cowie","Early Mortality","583","573.67",418,405
3,"S02002441","Stirling","Emergency Admissions","2012/13",-36,-5,"Cowie","Emergency Admissions Cowie","Emergency Admissions","22352.94","30450.78",22971,24197
3,"S02002441","Stirling","Out of Work Benefits","2013/14",-19.78,-15.99,"Cowie","Out of Work Benefits Cowie","Out of Work Benefits","15.22","18.23",10.36,12.02
3,"S02002441","Stirling","Participation Rate","2016/17",3.73,2.76,"Cowie","Participation Rate Cowie","Participation Rate","88.27","91.56",91.01,93.52
3,"S02002465","West Dunbartonshire","Attainment","2013/14",2.37,-2.19,"Clydebank East","Attainment Clydebank East","Attainment","5.06","5.18",5.43,5.32
3,"S02002465","West Dunbartonshire","Child Poverty","2014/15",-9.07,3.28,"Clydebank East","Child Poverty Clydebank East","Child Poverty","25.46","27.77",18.37,17.77
3,"S02002465","West Dunbartonshire","Crime Rate","2012/13",67,52,"Clydebank East","Crime Rate Clydebank East","Crime Rate","1873.42","620.07",2358,1129
3,"S02002465","West Dunbartonshire","Depopulation","2012/13",-4.17,-2.61,"Clydebank East","Depopulation Clydebank East","Depopulation","100","104.17",100,102.61
3,"S02002465","West Dunbartonshire","Early Mortality","2012/13",25,9,"Clydebank East","Early Mortality Clydebank East","Early Mortality","702","527.54",598,544
3,"S02002465","West Dunbartonshire","Emergency Admissions","2012/13",6,7,"Clydebank East","Emergency Admissions Clydebank East","Emergency Admissions","34639.5","32448.8",29715,27575
3,"S02002465","West Dunbartonshire","Out of Work Benefits","2013/14",-20.82,-20.16,"Clydebank East","Out of Work Benefits Clydebank East","Out of Work Benefits","21.66","26.17",17.74,21.32
3,"S02002465","West Dunbartonshire","Participation Rate","2016/17",6.38,2.58,"Clydebank East","Participation Rate Clydebank East","Participation Rate","85.52","90.98",88.64,90.93
3,"S02002483","West Lothian","Attainment","2013/14",2.55,0.15,"Dedridge East","Attainment Dedridge East","Attainment","5.1","5.23",5.5,5.51
3,"S02002483","West Lothian","Child Poverty","2014/15",-9.04,-9.89,"Dedridge East","Child Poverty Dedridge East","Child Poverty","22.78","24.84",14.99,16.47
3,"S02002483","West Lothian","Crime Rate","2012/13",-3,-11,"Dedridge East","Crime Rate Dedridge East","Crime Rate","3101.53","3191.85",1071,1190
3,"S02002483","West Lothian","Depopulation","2012/13",2.84,3.33,"Dedridge East","Depopulation Dedridge East","Depopulation","100","97.16",100,96.67
3,"S02002483","West Lothian","Early Mortality","2012/13",1,9,"Dedridge East","Early Mortality Dedridge East","Early Mortality","592","584.29",477,435
3,"S02002483","West Lothian","Emergency Admissions","2012/13",4,1,"Dedridge East","Emergency Admissions Dedridge East","Emergency Admissions","36546.76","35080.79",26444,26157
3,"S02002483","West Lothian","Out of Work Benefits","2013/14",-32.23,-26.47,"Dedridge East","Out of Work Benefits Dedridge East","Out of Work Benefits","16.69","22.07",12.16,15.38
3,"S02002483","West Lothian","Participation Rate","2016/17",5.51,4.09,"Dedridge East","Participation Rate Dedridge East","Participation Rate","85.17","89.86",89.74,93.41
4,"S02001264","Aberdeen City","Attainment","2013/14",12.05,1.65,"Seaton","Attainment Seaton"," ","4.73","5.3",5.36,5.45
4,"S02001264","Aberdeen City","Child Poverty","2014/15",-42.78,-22.81,"Seaton","Child Poverty Seaton"," ","17.25","24.63",10.52,12.92
4,"S02001264","Aberdeen City","Crime Rate","2012/13",31,22,"Seaton","Crime Rate Seaton"," ","1819.66","1262.67",1739,1364
4,"S02001264","Aberdeen City","Depopulation","2012/13",4.75,0.58,"Seaton","Depopulation Seaton"," ","100","95.25",100,99.42
4,"S02001264","Aberdeen City","Early Mortality","2012/13",-13,11,"Seaton","Early Mortality Seaton"," ","662","745.3",497,444
4,"S02001264","Aberdeen City","Emergency Admissions","2012/13",20,12,"Seaton","Emergency Admissions Seaton"," ","34501.85","27465.72",26118,22899
4,"S02001264","Aberdeen City","Out of Work Benefits","2013/14",-24.57,-55.54,"Seaton","Out of Work Benefits Seaton"," ","11.11","13.84",7.62,11.85
4,"S02001264","Aberdeen City","Participation Rate","2016/17",27.78,2.45,"Seaton","Participation Rate Seaton"," ","66.67","85.19",87.9,90.05
4,"S02001341","Aberdeenshire","Attainment","2013/14",-1.51,1.29,"Fraserburgh Lochpots","Attainment Fraserburgh Lochpots"," ","4.64","4.57",5.44,5.51
4,"S02001341","Aberdeenshire","Child Poverty","2014/15",1.16,-14.72,"Fraserburgh Lochpots","Child Poverty Fraserburgh Lochpots"," ","18.07","17.86",8.91,10.22
4,"S02001341","Aberdeenshire","Crime Rate","2012/13",-21,5,"Fraserburgh Lochpots","Crime Rate Fraserburgh Lochpots"," ","1102.86","1335.44",822,780
4,"S02001341","Aberdeenshire","Depopulation","2012/13",-10.11,0.8,"Fraserburgh Lochpots","Depopulation Fraserburgh Lochpots"," ","100","110.11",100,99.2
4,"S02001341","Aberdeenshire","Early Mortality","2012/13",-19,6,"Fraserburgh Lochpots","Early Mortality Fraserburgh Lochpots"," ","583","693.65",373,352
4,"S02001341","Aberdeenshire","Emergency Admissions","2012/13",3,11,"Fraserburgh Lochpots","Emergency Admissions Fraserburgh Lochpots"," ","16720.26","16298.76",19800,17649
4,"S02001341","Aberdeenshire","Out of Work Benefits","2013/14",-52.65,-66.14,"Fraserburgh Lochpots","Out of Work Benefits Fraserburgh Lochpots"," ","14.72","22.47",5.79,9.62
4,"S02001341","Aberdeenshire","Participation Rate","2016/17",1.33,-0.91,"Fraserburgh Lochpots","Participation Rate Fraserburgh Lochpots"," ","85.86","87",93.24,92.39
4,"S02001361","Angus","Attainment","2013/14",-7.44,-3.54,"Brechin East","Attainment Brechin East"," ","5.11","4.73",5.5,5.31
4,"S02001361","Angus","Child Poverty","2014/15",-48.12,-17.9,"Brechin East","Child Poverty Brechin East"," ","20.45","30.29",14.16,16.7
4,"S02001361","Angus","Crime Rate","2012/13",-5,-36,"Brechin East","Crime Rate Brechin East"," ","1203.21","1262.85",719,978
4,"S02001361","Angus","Depopulation","2012/13",-6.68,-1.81,"Brechin East","Depopulation Brechin East"," ","100","106.68",100,101.81
4,"S02001361","Angus","Early Mortality","2012/13",3,4,"Brechin East","Early Mortality Brechin East"," ","607","590.19",401,383
4,"S02001361","Angus","Emergency Admissions","2012/13",-28,-12,"Brechin East","Emergency Admissions Brechin East"," ","23227.75","29717.91",19852,22158
4,"S02001361","Angus","Out of Work Benefits","2013/14",-71.94,-60.21,"Brechin East","Out of Work Benefits Brechin East"," ","15.36","26.41",9.17,14.69
4,"S02001361","Angus","Participation Rate","2016/17",-2.52,0.09,"Brechin East","Participation Rate Brechin East"," ","91.12","88.82",91.56,91.64
4,"S02001390","Argyll and Bute","Attainment","2013/14",4.1,-1,"Helensburgh Centre","Attainment Helensburgh Centre"," ","5.61","5.84",5.61,5.55
4,"S02001390","Argyll and Bute","Child Poverty","2014/15",-17.24,-4.22,"Helensburgh Centre","Child Poverty Helensburgh Centre"," ","13.92","16.32",14.67,15.28
4,"S02001390","Argyll and Bute","Crime Rate","2012/13",58,34,"Helensburgh Centre","Crime Rate Helensburgh Centre"," ","5263.72","2197.5",1719,1137
4,"S02001390","Argyll and Bute","Depopulation","2012/13",-0.85,-1.13,"Helensburgh Centre","Depopulation Helensburgh Centre"," ","100","100.85",100,101.13
4,"S02001390","Argyll and Bute","Early Mortality","2012/13",-16,12,"Helensburgh Centre","Early Mortality Helensburgh Centre"," ","357","413.38",435,384
4,"S02001390","Argyll and Bute","Emergency Admissions","2012/13",-4,4,"Helensburgh Centre","Emergency Admissions Helensburgh Centre"," ","23642.94","24606.45",22307,21504
4,"S02001390","Argyll and Bute","Out of Work Benefits","2013/14",-5.53,-31.96,"Helensburgh Centre","Out of Work Benefits Helensburgh Centre"," ","13.39","14.13",9.99,13.18
4,"S02001390","Argyll and Bute","Participation Rate","2016/17",-0.67,0.31,"Helensburgh Centre","Participation Rate Helensburgh Centre"," ","91.09","90.48",94.48,94.78
4,"S02001403","Clackmannanshire","Attainment","2013/14",0,-0.48,"Alloa North","Attainment Alloa North"," ","5.32","5.32",5.4,5.37
4,"S02001403","Clackmannanshire","Child Poverty","2014/15",-24.21,-11.86,"Alloa North","Child Poverty Alloa North"," ","17.51","21.75",17.87,19.99
4,"S02001403","Clackmannanshire","Crime Rate","2012/13",26,2,"Alloa North","Crime Rate Alloa North"," ","912.82","679.41",1163,1134
4,"S02001403","Clackmannanshire","Depopulation","2012/13",3.57,1.18,"Alloa North","Depopulation Alloa North"," ","100","96.43",100,98.82
4,"S02001403","Clackmannanshire","Early Mortality","2012/13",2,-2,"Alloa North","Early Mortality Alloa North"," ","479","468.34",458,466
4,"S02001403","Clackmannanshire","Emergency Admissions","2012/13",11,-11,"Alloa North","Emergency Admissions Alloa North"," ","25967.41","23105.59",20978,23368
4,"S02001403","Clackmannanshire","Out of Work Benefits","2013/14",-15.24,-22.7,"Alloa North","Out of Work Benefits Alloa North"," ","14.17","16.33",14.22,17.45
4,"S02001403","Clackmannanshire","Participation Rate","2016/17",-2.83,1.73,"Alloa North","Participation Rate Alloa North"," ","91.85","89.25",89.83,91.39
4,"S02001430","Dumfries and Galloway","Attainment","2013/14",-4.07,-0.99,"Dumfries Central","Attainment Dumfries Central"," ","5.4","5.18",5.56,5.5
4,"S02001430","Dumfries and Galloway","Child Poverty","2014/15",-20.03,-10.03,"Dumfries Central","Child Poverty Dumfries Central"," ","21.62","25.95",17.05,18.76
4,"S02001430","Dumfries and Galloway","Crime Rate","2012/13",-1,-52,"Dumfries Central","Crime Rate Dumfries Central"," ","6141.95","6197.54",912,1388
4,"S02001430","Dumfries and Galloway","Depopulation","2012/13",7.28,-3.76,"Dumfries Central","Depopulation Dumfries Central"," ","100","92.72",100,103.76
4,"S02001430","Dumfries and Galloway","Early Mortality","2012/13",-19,0,"Dumfries Central","Early Mortality Dumfries Central"," ","582","694.01",406,405
4,"S02001430","Dumfries and Galloway","Emergency Admissions","2012/13",-12,-5,"Dumfries Central","Emergency Admissions Dumfries Central"," ","33962.26","37958.13",21449,22523
4,"S02001430","Dumfries and Galloway","Out of Work Benefits","2013/14",-11.26,-45.02,"Dumfries Central","Out of Work Benefits Dumfries Central"," ","22.92","25.5",10.97,15.91
4,"S02001430","Dumfries and Galloway","Participation Rate","2016/17",4.23,2.94,"Dumfries Central","Participation Rate Dumfries Central"," ","87","90.68",91.49,94.18
4,"S02001448","Dundee City","Attainment","2013/14",5.37,-3.27,"City Centre","Attainment City Centre"," ","5.03","5.3",5.35,5.18
4,"S02001448","Dundee City","Child Poverty","2014/15",-3.96,-3.39,"City Centre","Child Poverty City Centre"," ","27.8","28.9",17.72,18.32
4,"S02001448","Dundee City","Crime Rate","2012/13",-25,NA,"City Centre","Crime Rate City Centre"," ","3805.97","4770.19",17.72,1634
4,"S02001448","Dundee City","Depopulation","2012/13",4.89,0.21,"City Centre","Depopulation City Centre"," ","100","95.11",100,99.79
4,"S02001448","Dundee City","Early Mortality","2012/13",-10,8,"City Centre","Early Mortality City Centre"," ","814","892.33",596,548
4,"S02001448","Dundee City","Emergency Admissions","2012/13",0,-12,"City Centre","Emergency Admissions City Centre"," ","27002.97","27047.41",26055,29095
4,"S02001448","Dundee City","Out of Work Benefits","2013/14",3.07,-20.57,"City Centre","Out of Work Benefits City Centre"," ","14.96","14.5",16.09,19.4
4,"S02001448","Dundee City","Participation Rate","2016/17",15.82,2.2,"City Centre","Participation Rate City Centre"," ","69.66","80.68",87.56,89.48
4,"S02001485","East Ayrshire","Attainment","2013/14",2.21,0.02,"Auchinleck","Attainment Auchinleck"," ","4.98","5.09",5.39,5.39
4,"S02001485","East Ayrshire","Child Poverty","2014/15",8.68,-7.61,"Auchinleck","Child Poverty Auchinleck"," ","24.78","22.63",19.52,21
4,"S02001485","East Ayrshire","Crime Rate","2012/13",21,40,"Auchinleck","Crime Rate Auchinleck"," ","2545","2012.77",2132,1274
4,"S02001485","East Ayrshire","Depopulation","2012/13",-2.08,-2.49,"Auchinleck","Depopulation Auchinleck"," ","100","102.08",100,102.49
4,"S02001485","East Ayrshire","Early Mortality","2012/13",9,-3,"Auchinleck","Early Mortality Auchinleck"," ","615","557.65",511,525
4,"S02001485","East Ayrshire","Emergency Admissions","2012/13",33,9,"Auchinleck","Emergency Admissions Auchinleck"," ","42334.74","28499.53",30637,27775
4,"S02001485","East Ayrshire","Out of Work Benefits","2013/14",-27.74,-27.35,"Auchinleck","Out of Work Benefits Auchinleck"," ","20.87","26.66",15.87,20.2
4,"S02001485","East Ayrshire","Participation Rate","2016/17",4.44,3.5,"Auchinleck","Participation Rate Auchinleck"," ","85.79","89.6",89.02,92.14
4,"S02001507","East Dunbartonshire","Attainment","2013/14",6.81,1.92,"East Clober and Mains Estate","Attainment East Clober and Mains Estate"," ","5.73","6.12",6,6.11
4,"S02001507","East Dunbartonshire","Child Poverty","2014/15",31.27,4.38,"East Clober and Mains Estate","Child Poverty East Clober and Mains Estate"," ","16.47","11.32",8.54,8.17
4,"S02001507","East Dunbartonshire","Crime Rate","2012/13",70,NA,"East Clober and Mains Estate","Crime Rate East Clober and Mains Estate"," ","984.88","295.62",8.54,538
4,"S02001507","East Dunbartonshire","Depopulation","2012/13",2.17,2.13,"East Clober and Mains Estate","Depopulation East Clober and Mains Estate"," ","100","97.83",100,97.87
4,"S02001507","East Dunbartonshire","Early Mortality","2012/13",46,16,"East Clober and Mains Estate","Early Mortality East Clober and Mains Estate"," ","447","242.15",344,289
4,"S02001507","East Dunbartonshire","Emergency Admissions","2012/13",34,13,"East Clober and Mains Estate","Emergency Admissions East Clober and Mains Estate"," ","32998.32","21701.35",24567,21360
4,"S02001507","East Dunbartonshire","Out of Work Benefits","2013/14",-16.68,-28.18,"East Clober and Mains Estate","Out of Work Benefits East Clober and Mains Estate"," ","11.45","13.36",7.46,9.57
4,"S02001507","East Dunbartonshire","Participation Rate","2016/17",-1.08,0.57,"East Clober and Mains Estate","Participation Rate East Clober and Mains Estate"," ","94.77","93.75",95.52,96.07
4,"S02001540","East Lothian","Attainment","2013/14",0,-1.16,"Prestonpans North","Attainment Prestonpans North"," ","5.1","5.1",5.54,5.47
4,"S02001540","East Lothian","Child Poverty","2014/15",8.16,18.45,"Prestonpans North","Child Poverty Prestonpans North"," ","17.15","15.75",13.94,11.37
4,"S02001540","East Lothian","Crime Rate","2012/13",-43,-66,"Prestonpans North","Crime Rate Prestonpans North"," ","1385.4","1981.54",846,1406
4,"S02001540","East Lothian","Depopulation","2012/13",7.25,8.66,"Prestonpans North","Depopulation Prestonpans North"," ","100","92.75",100,91.34
4,"S02001540","East Lothian","Early Mortality","2012/13",19,17,"Prestonpans North","Early Mortality Prestonpans North"," ","543","441.08",414,345
4,"S02001540","East Lothian","Emergency Admissions","2012/13",15,16,"Prestonpans North","Emergency Admissions Prestonpans North"," ","26002.59","21982.61",23511,19759
4,"S02001540","East Lothian","Out of Work Benefits","2013/14",-12.05,-23.77,"Prestonpans North","Out of Work Benefits Prestonpans North"," ","15.19","17.02",9.59,11.87
4,"S02001540","East Lothian","Participation Rate","2016/17",14.48,5.06,"Prestonpans North","Participation Rate Prestonpans North"," ","81.42","93.21",90.27,94.84
4,"S02001559","East Renfrewshire","Attainment","2013/14",-3.4,1.33,"West Arthurlie and North Neilston","Attainment West Arthurlie and North Neilston"," ","5.88","5.68",6.08,6.16
4,"S02001559","East Renfrewshire","Child Poverty","2014/15",33.98,11.67,"West Arthurlie and North Neilston","Child Poverty West Arthurlie and North Neilston"," ","16.92","11.17",9.03,7.98
4,"S02001559","East Renfrewshire","Crime Rate","2012/13",52,50,"West Arthurlie and North Neilston","Crime Rate West Arthurlie and North Neilston"," ","1039.28","502.4",1174,587
4,"S02001559","East Renfrewshire","Depopulation","2012/13",15.73,5.38,"West Arthurlie and North Neilston","Depopulation West Arthurlie and North Neilston"," ","100","84.27",100,94.62
4,"S02001559","East Renfrewshire","Early Mortality","2012/13",25,14,"West Arthurlie and North Neilston","Early Mortality West Arthurlie and North Neilston"," ","477","359.82",347,298
4,"S02001559","East Renfrewshire","Emergency Admissions","2012/13",24,19,"West Arthurlie and North Neilston","Emergency Admissions West Arthurlie and North Neilston"," ","25907.99","19613.18",24725,19931
4,"S02001559","East Renfrewshire","Out of Work Benefits","2013/14",-19.17,-19.56,"West Arthurlie and North Neilston","Out of Work Benefits West Arthurlie and North Neilston"," ","11.53","13.74",7.21,8.62
4,"S02001559","East Renfrewshire","Participation Rate","2016/17",0.94,0.65,"West Arthurlie and North Neilston","Participation Rate West Arthurlie and North Neilston"," ","93.37","94.25",96.12,96.74
4,"S02001582","Edinburgh, City of","Attainment","2013/14",3.42,2.16,"Clovenstone and Wester Hailes","Attainment Clovenstone and Wester Hailes"," ","4.68","4.84",5.56,5.68
4,"S02001582","Edinburgh, City of","Child Poverty","2014/15",-0.53,-14.23,"Clovenstone and Wester Hailes","Child Poverty Clovenstone and Wester Hailes"," ","26.56","26.7",10.69,12.21
4,"S02001582","Edinburgh, City of","Crime Rate","2012/13",14,7,"Clovenstone and Wester Hailes","Crime Rate Clovenstone and Wester Hailes"," ","1517.86","1302.46",1262,1170
4,"S02001582","Edinburgh, City of","Depopulation","2012/13",3.09,5.6,"Clovenstone and Wester Hailes","Depopulation Clovenstone and Wester Hailes"," ","100","96.91",100,94.4
4,"S02001582","Edinburgh, City of","Early Mortality","2012/13",1,15,"Clovenstone and Wester Hailes","Early Mortality Clovenstone and Wester Hailes"," ","837","826.04",470,400
4,"S02001582","Edinburgh, City of","Emergency Admissions","2012/13",16,12,"Clovenstone and Wester Hailes","Emergency Admissions Clovenstone and Wester Hailes"," ","34158.42","28546.55",25325,22315
4,"S02001582","Edinburgh, City of","Out of Work Benefits","2013/14",-6.56,-6.32,"Clovenstone and Wester Hailes","Out of Work Benefits Clovenstone and Wester Hailes"," ","26.08","27.79",9.87,10.49
4,"S02001582","Edinburgh, City of","Participation Rate","2016/17",8.6,3.21,"Clovenstone and Wester Hailes","Participation Rate Clovenstone and Wester Hailes"," ","83.93","91.15",90.28,93.18
4,"S02001690","Eilean Siar","Attainment","2013/14",-1.08,-4.42,"South Lewis","Attainment South Lewis"," ","5.57","5.51",5.7,5.45
4,"S02001690","Eilean Siar","Child Poverty","2014/15",-101.92,-20.77,"South Lewis","Child Poverty South Lewis"," ","9.37","18.92",11.42,13.79
4,"S02001690","Eilean Siar","Crime Rate","2012/13",-3319,-483,"South Lewis","Crime Rate South Lewis"," ","13.08","447.21",132,772
4,"S02001690","Eilean Siar","Depopulation","2012/13",-1.39,-5.7,"South Lewis","Depopulation South Lewis"," ","100","101.39",100,105.7
4,"S02001690","Eilean Siar","Early Mortality","2012/13",2,11,"South Lewis","Early Mortality South Lewis"," ","379","372.67",478,424
4,"S02001690","Eilean Siar","Emergency Admissions","2012/13",-6,-4,"South Lewis","Emergency Admissions South Lewis"," ","19598.77","20725.99",24465,25346
4,"S02001690","Eilean Siar","Out of Work Benefits","2013/14",-6.97,-14.11,"South Lewis","Out of Work Benefits South Lewis"," ","10.19","10.9",9.65,11.01
